feature,missing_ratio,mean,std,min,max,skewness
KLAC_vol_20d,0.0,0.022690496376914168,0.011407591140641207,0.0049099103497896,0.1005970679736511,1.954881896579925
KLAC_volchg_5d,0.0,0.07724328223805253,0.6783382238520753,-0.8740345468689708,14.57031972859052,7.487469739332915
QQQ_ret_1d,0.0,0.000788155053883962,0.01367354962555446,-0.119787843011381,0.1200307713657888,-0.14477596318371266
QQQ_ret_5d,0.0,0.0039029417456095993,0.027867583544136633,-0.1619641268812431,0.1265985317511433,-0.5332437503722145
QQQ_ret_20d,0.0,0.01551442419624146,0.053900847426058156,-0.2784691293379419,0.246280077894019,-0.43514179069775183
QQQ_vol_20d,0.0,0.012011923539865596,0.006628421113309677,0.0027757006405661,0.0581536420287624,2.563967831098478
QQQ_volchg_5d,0.0,0.05873327294454323,0.48679143559479127,-0.7689287947853334,4.415549769780298,2.5266977839506044
SPY_ret_1d,0.0,0.0005265516889365121,0.010999728853057679,-0.1094237354049449,0.105019301839113,-0.27425144618628594
SPY_ret_5d,0.0,0.002596504883143839,0.02261082376701282,-0.1796931573768119,0.1735815092082122,-0.8076886954606574
SPY_ret_20d,0.0,0.010276270297966761,0.04334776957142147,-0.313901896623309,0.2307254920542591,-1.1442467400130953
